Item Type,Item URL Label (image),Item Name,Item Price ($),Item URL (image)
pants,H&M,Skinny Fit Suit Pants,25,"https://lp2.hm.com/hmgoepprod?set=quality[79],source[/01/bd/01bd61be11237a8f05f8a36e93cc2943ea527ce1.jpg],origin[dam],category[men_blazerssuits_trousers],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/main]"
pants,Nike Sportswear Club,Nike Sportswear Club,40,"https://c.static-nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/09f0dd0b-b4f9-4e64-a213-0bf3cbdb916a/sportswear-club-womens-high-waisted-leggings-dG8XS8.jpg"
pants,Hurley Chill Rib,Hurley Chill Rib,50,"https://c.static-nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/3bb3cf82-ea86-4b16-b26f-9c8625d8365a/hurley-chill-rib-womens-fleece-joggers-0xjC3m.jpg"
electronic devices,airpods,airpods,139,https://i5.walmartimages.com/asr/ac793ff4-d3da-4cbe-beba-f956e7494490_1.5bae15688eb0aafd22a99d01a072f9db.jpeg?odnWidth=undefined&odnHeight=undefined&odnBg=ffffff
electronic devices,airpods series 2,airpods second generation,159,https://i5.walmartimages.com/asr/3372fa98-91e4-480b-9f2f-954281b107fa_1.cabaea14cc5589444a079b88166ace50.jpeg?odnWidth=undefined&odnHeight=undefined&odnBg=ffffff
electronic devices,ps4,playstation 4 pro,338.85,https://images-na.ssl-images-amazon.com/images/I/41GGPRqTZtL.jpg
electronic devices,Xbox One X,Xbox One X,316.89,https://i5.walmartimages.com/asr/1b1cd79d-cd43-4ad8-b79c-850a7e7e0d34_1.4c6589b0d40393a0d045594981c8e66b.jpeg
electronic devices,airpods pro,airpods pro,249,https://store.storeimages.cdn-apple.com/4982/as-images.apple.com/is/MWP22?wid=2000&hei=2000&fmt=jpeg&qlt=80&op_usm=0.5%2C0.5&.v=1572990352299
electronic devices,ipad air,ipad air,499,https://colourmylearning-xeliumltd.netdna-ssl.com/wp-content/uploads/2019/06/iPad-Family.jpg
electronic devices,macBook Air,macBook Air,1099,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6356/6356906cv12d.jpg;maxHeight=1000;maxWidth=1000
electronic devices,iphoneXr,iphoneXr,650,https://i.ebayimg.com/images/g/cekAAOSwdkxdDr1k/s-l1600.jpg
electronic devices,RTX8000,RTX8000,5500,https://www.nvidia.com/content/dam/en-zz/Solutions/design-visualization/quadro/rtx-8000/quadro-rtx-8000-front-625-u.jpg
electronic devices,RX5700xt,AMD 5700XT,439,https://c1.neweggimages.com/NeweggImage/ProductImage/14-131-752-V10.jpg?ex=2
books,Python for Data Analysis,Python for Data Analysis,59.99,"https://images-na.ssl-images-amazon.com/images/I/51cUNf8zukL._SX379_BO1,204,203,200_.jpg"
books,Python Crash Course,Python Crash Course,23.99,https://target.scene7.com/is/image/Target/GUEST_44be1d0e-9b18-4ecb-a140-e48f9ef44f9f?fmt=webp&wid=1400&qlt=80
books,Learn Python the Hard Way,Learn Python the Hard Way,31.5,"https://images-na.ssl-images-amazon.com/images/I/51VMVP-3ojL._SX382_BO1,204,203,200_.jpg"
books,Programming Python: Powerful Object-Oriented Programming,Programming Python: Powerful Object-Oriented Programming,39.99,"https://images-na.ssl-images-amazon.com/images/I/51ovFaPaLjL._SX379_BO1,204,203,200_.jpg"
books,Core Java Volume I -- Fundamentals,Core Java Volume I -- Fundamentals,18.75,"https://images-na.ssl-images-amazon.com/images/I/41Brz5j2rKL._SX381_BO1,204,203,200_.jpg"
books,Head First Java,Head First Java,31.6,"https://images-na.ssl-images-amazon.com/images/I/51Gsycdh-TL._SX430_BO1,204,203,200_.jpg"
books,Java Performance: The Definitive Guide,Java Performance: The Definitive Guide,36.51,"https://images-na.ssl-images-amazon.com/images/I/51YB8Um02bL._SX379_BO1,204,203,200_.jpg"
books,Data Mining Techniques,Data Mining Techniques,27.99,https://m.media-amazon.com/images/I/51bzOL9FB5L._SL500_.jpg
books,Introduction To The Theory Of Computation,Introduction To The Theory Of Computation,13.99,https://productimages.worldofbooks.com/8131525295.jpg
books,"Ethics and Technology: Controversies, Questions, and Strategies for Ethical Computing","Ethics and Technology: Controversies, Questions, and Strategies for Ethical Computing",19.99,https://orangeup.store/wp-content/uploads/2020/02/514Z9Jdb1ML.jpg
